2019-03-10 18:07:14.665 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.guilin.realestate.RealestateApplicationTests], using SpringBootContextLoader
2019-03-10 18:07:14.675 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [com.guilin.realestate.RealestateApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-03-10 18:07:14.677 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:83] - Could not detect default configuration classes for test class [com.guilin.realestate.RealestateApplicationTests]: RealestateApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-03-10 18:07:15.075 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:247] - Found @SpringBootConfiguration com.guilin.realestate.RealestateApplication for test class com.guilin.realestate.RealestateApplicationTests
2019-03-10 18:07:15.276 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:248] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-03-10 18:07:15.313 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:177] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32910148, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3f56875e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2b4bac49, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@fd07cbb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3571b748, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e96bacf, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@484970b0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4470f8a6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c83dc97, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7748410a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@740773a3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@37f1104d]
2019-03-10 18:07:16.103 [main] INFO  [com.guilin.realestate.RealestateApplicationTests:50] - Starting RealestateApplicationTests on Guilin-PC with PID 9588 (started by Guilin in C:\github\realestate_monolith)
2019-03-10 18:07:16.105 [main] INFO  [com.guilin.realestate.RealestateApplicationTests:675] - No active profile set, falling back to default profiles: default
2019-03-10 18:07:19.474 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:971] - {dataSource-1} inited
2019-03-10 18:07:20.840 [main] INFO  [com.guilin.realestate.filter.LogFilter:30] - Filter is created!
2019-03-10 18:07:22.149 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor:171] - Initializing ExecutorService 'applicationTaskExecutor'
2019-03-10 18:07:23.682 [main] INFO  [com.guilin.realestate.RealestateApplicationTests:59] - Started RealestateApplicationTests in 8.271 seconds (JVM running for 11.2)
2019-03-10 18:07:24.467 [Thread-4] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor:208] - Shutting down ExecutorService 'applicationTaskExecutor'
2019-03-10 18:07:24.500 [Thread-4] INFO  [com.alibaba.druid.pool.DruidDataSource:1908] - {dataSource-1} closed
